source,file,dest_split,n_boxes
dut/train,00001.jpg,train,1
dut/train,00002.jpg,train,1
dut/train,00003.jpg,train,1
dut/train,00004.jpg,train,1
dut/train,00005.jpg,train,1
dut/train,00006.jpg,train,1
dut/train,00007.jpg,train,1
dut/train,00008.jpg,train,1
dut/train,00009.jpg,train,1
dut/train,00010.jpg,train,1
dut/train,00011.jpg,train,1
dut/train,00012.jpg,train,1
dut/train,00013.jpg,train,1
dut/train,00014.jpg,train,1
dut/train,00015.jpg,train,1
dut/train,00016.jpg,train,1
dut/train,00017.jpg,train,1
dut/train,00018.jpg,train,1
dut/train,00019.jpg,train,1
dut/train,00020.jpg,train,1
dut/train,00021.jpg,train,2
dut/train,00022.jpg,train,1
dut/train,00023.jpg,train,1
dut/train,00024.jpg,train,1
dut/train,00025.jpg,train,1
dut/train,00026.jpg,train,1
dut/train,00027.jpg,train,1
dut/train,00028.jpg,train,1
dut/train,00029.jpg,train,1
dut/train,00030.jpg,train,1
dut/train,00031.jpg,train,1
dut/train,00032.jpg,train,1
dut/train,00033.jpg,train,1
dut/train,00034.jpg,train,1
dut/train,00035.jpg,train,1
dut/train,00036.jpg,train,1
dut/train,00037.jpg,train,1
dut/train,00038.jpg,train,1
dut/train,00039.jpg,train,1
dut/train,00040.jpg,train,1
dut/train,00041.jpg,train,1
dut/train,00042.jpg,train,1
dut/train,00043.jpg,train,1
dut/train,00044.jpg,train,1
dut/train,00045.jpg,train,1
dut/train,00046.jpg,train,1
dut/train,00047.jpg,train,1
dut/train,00048.jpg,train,1
dut/train,00049.jpg,train,1
dut/train,00050.jpg,train,1
dut/train,00051.jpg,train,1
dut/train,00052.jpg,train,1
dut/train,00053.jpg,train,1
dut/train,00054.jpg,train,1
dut/train,00055.jpg,train,1
dut/train,00056.jpg,train,1
dut/train,00057.jpg,train,1
dut/train,00058.jpg,train,1
dut/train,00059.jpg,train,1
dut/train,00060.jpg,train,1
dut/train,00061.jpg,train,1
dut/train,00062.jpg,train,1
dut/train,00063.jpg,train,1
dut/train,00064.jpg,train,1
dut/train,00065.jpg,train,6
dut/train,00066.jpg,train,1
dut/train,00067.jpg,train,1
dut/train,00068.jpg,train,1
dut/train,00069.jpg,train,1
dut/train,00070.jpg,train,1
dut/train,00071.jpg,train,1
dut/train,00072.jpg,train,1
dut/train,00073.jpg,train,1
dut/train,00074.jpg,train,1
dut/train,00075.jpg,train,1
dut/train,00076.jpg,train,1
dut/train,00077.jpg,train,1
dut/train,00078.jpg,train,1
dut/train,00079.jpg,train,1
dut/train,00080.jpg,train,1
dut/train,00081.jpg,train,1
dut/train,00082.jpg,train,1
dut/train,00083.jpg,train,1
dut/train,00084.jpg,train,1
dut/train,00085.jpg,train,1
dut/train,00086.jpg,train,1
dut/train,00087.jpg,train,1
dut/train,00088.jpg,train,1
dut/train,00089.jpg,train,2
dut/train,00090.jpg,train,1
dut/train,00091.jpg,train,1
dut/train,00092.jpg,train,1
dut/train,00093.jpg,train,1
dut/train,00094.jpg,train,1
dut/train,00095.jpg,train,1
dut/train,00096.jpg,train,1
dut/train,00097.jpg,train,1
dut/train,00098.jpg,train,1
dut/train,00099.jpg,train,1
dut/train,00100.jpg,train,1
dut/train,00101.jpg,train,1
dut/train,00102.jpg,train,1
dut/train,00103.jpg,train,1
dut/train,00104.jpg,train,1
dut/train,00105.jpg,train,1
dut/train,00106.jpg,train,1
dut/train,00107.jpg,train,1
dut/train,00108.jpg,train,1
dut/train,00109.jpg,train,1
dut/train,00110.jpg,train,1
dut/train,00111.jpg,train,1
dut/train,00112.jpg,train,1
dut/train,00113.jpg,train,1
dut/train,00114.jpg,train,1
dut/train,00115.jpg,train,1
dut/train,00116.jpg,train,1
dut/train,00117.jpg,train,1
dut/train,00118.jpg,train,1
dut/train,00119.jpg,train,1
dut/train,00120.jpg,train,1
dut/train,00121.jpg,train,1
dut/train,00122.jpg,train,1
dut/train,00123.jpg,train,1
dut/train,00124.jpg,train,1
dut/train,00125.jpg,train,1
dut/train,00126.jpg,train,1
dut/train,00127.jpg,train,1
dut/train,00128.jpg,train,1
dut/train,00129.jpg,train,1
dut/train,00130.jpg,train,1
dut/train,00131.jpg,train,1
dut/train,00132.jpg,train,1
dut/train,00133.jpg,train,1
dut/train,00134.jpg,train,1
dut/train,00135.jpg,train,1
dut/train,00136.jpg,train,1
dut/train,00137.jpg,train,1
dut/train,00138.jpg,train,1
dut/train,00139.jpg,train,1
dut/train,00140.jpg,train,2
dut/train,00141.jpg,train,1
dut/train,00142.jpg,train,1
dut/train,00143.jpg,train,1
dut/train,00144.jpg,train,1
dut/train,00145.jpg,train,1
dut/train,00146.jpg,train,1
dut/train,00147.jpg,train,1
dut/train,00148.jpg,train,1
dut/train,00149.jpg,train,1
dut/train,00150.jpg,train,1
dut/train,00151.jpg,train,1
dut/train,00152.jpg,train,1
dut/train,00153.jpg,train,1
dut/train,00154.jpg,train,1
dut/train,00155.jpg,train,5
dut/train,00156.jpg,train,2
dut/train,00157.jpg,train,1
dut/train,00158.jpg,train,1
dut/train,00159.jpg,train,1
dut/train,00160.jpg,train,1
dut/train,00161.jpg,train,1
